FID,FID_sweep_,ID,GRIDCODE,FID_Sweep1,FID_Swee_1,distance,FID_Swee_2,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,F_AREA
118,82,83,121,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,3527.114221360000101
119,83,84,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,284970.536369999987073
120,83,84,24,57,0,-3500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,500.000000000000000,0.000000000000000,40141.441149699996458
121,83,84,24,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,90192.800144399996498
122,83,84,24,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,124504.387795000002370
123,83,84,24,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,160672.822388000000501
124,83,84,24,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,195348.974546000012197
125,83,84,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,230241.178282999986550
126,83,84,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,267322.451029999996535
127,84,85,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1763.554704840000113
128,85,86,152,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,881.790998352999964
129,86,87,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,2431.321952950000195
130,86,87,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,214.033265757000009
131,87,88,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,881.801692431999982
132,88,89,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,46.933460355800001
133,88,89,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1716.708450690000063
134,89,90,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1763.696622749999960
135,90,91,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,881.856774276000010
136,91,92,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.878929911999990
