FID,FID_Sweep1,FID_Swee_1,distance,FID_Buffer,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,FID_sweep_,ID,GRIDCODE,F_AREA
11332,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6216,6217,176,508.586693201000003
11333,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6217,6218,36,463.560983593999993
11334,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6219,6220,61,912.604543181000054
11335,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6220,6221,24,912.607849961000056
11336,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6221,6222,36,912.607914245999950
11337,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6222,6223,36,638.028005621000034
11338,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6223,6224,36,389.843563559000017
11339,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6224,6225,37,3599.299846320000142
11340,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6225,6226,37,912.609796774999950
11341,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6228,6229,24,912.613233673999957
11342,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6229,6230,24,912.613362958000039
11343,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6230,6231,37,5409.079350809999596
11344,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6231,6232,176,1825.225747599999977
11345,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6232,6233,36,912.613621145000025
11346,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6233,6234,176,912.613686185000006
