FID,FID_Sweep1,FID_Swee_1,distance,FID_Swee_2,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,FID_sweep_,ID,GRIDCODE,F_AREA
2092,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1909,1910,142,1241.237556419999919
2093,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1910,1911,142,1827.973915179999949
2094,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1911,1912,36,3135.590024730000096
2095,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1921,1922,42,2296.703483929999948
2096,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1922,1923,152,3005.271588359999896
2097,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1923,1924,123,3135.590024860000085
2098,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1924,1925,121,11994.891818100000819
2099,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1941,1942,121,37.104920649500002
2100,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1954,1955,24,3135.590025229999810
2101,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1969,1970,61,4394.670213059999696
2102,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1970,1971,152,5593.020003919999908
2103,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1971,1972,42,12367.483885400000872
2104,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1972,1973,122,1023.334725980000030
2105,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,1987,1988,121,3135.590024659999926
2106,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,2001,2002,62,9213.219831430000340
2107,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,2002,2003,121,3135.590024550000180
2108,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,2003,2004,121,3135.590024990000074
2109,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,2021,2022,152,430.407394051999972
2110,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,2022,2023,142,22083.590810599998804
2111,76,1,-3000.000000000000000,8,2011_18,18.000000000000000,20.183333333299998,46.747950000000003,-117.008600000000001,4000.000000000000000,8,1000.000000000000000,500.000000000000000,2023,2024,24,117010.861174999998184
2112,77,1,-3000.000000000000000,9,2011_19,19.000000000000000,20.183333333299998,46.921050000000001,-118.397099999999995,4000.000000000000000,9,1000.000000000000000,500.000000000000000,1159,1160,121,3135.590025129999958
2113,77,1,-3000.000000000000000,9,2011_19,19.000000000000000,20.183333333299998,46.921050000000001,-118.397099999999995,4000.000000000000000,9,1000.000000000000000,500.000000000000000,1160,1161,23,41627.282143800002814
2114,77,1,-3000.000000000000000,9,2011_19,19.000000000000000,20.183333333299998,46.921050000000001,-118.397099999999995,4000.000000000000000,9,1000.000000000000000,500.000000000000000,1164,1165,24,124249.953731000001426
2115,77,1,-3000.000000000000000,9,2011_19,19.000000000000000,20.183333333299998,46.921050000000001,-118.397099999999995,4000.000000000000000,9,1000.000000000000000,500.000000000000000,1167,1168,61,48943.021273699996527
2116,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2291,2292,61,635.577297510999983
2117,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2292,2293,171,1296.922582530000000
2118,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2296,2297,152,458.910300033999988
2119,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2297,2298,205,3135.590024910000011
2120,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2298,2299,59,3135.590025020000212
2121,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2304,2305,205,2868.518066439999984
2122,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2305,2306,121,5564.827419879999979
2123,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2313,2314,122,3135.590025059999789
2124,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2321,2322,23,1126.979331230000071
2125,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2335,2336,152,6581.933709740000268
2126,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2336,2337,121,3135.590024420000191
2127,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2337,2338,152,1456.597618680000096
2128,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2339,2340,24,2782.196179969999775
2129,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2340,2341,62,1597.903140030000031
2130,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2353,2354,23,402.390310832000011
2131,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2354,2355,122,3135.590024699999958
2132,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2355,2356,152,3135.590024749999884
2133,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2356,2357,24,1492.305346030000010
2134,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2358,2359,24,57542.518832200003089
2135,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2361,2362,23,18584.777112899999338
2136,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2362,2363,152,3135.590024799999810
2137,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2363,2364,122,1579.543846719999920
2138,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2381,2382,121,882.351328501000012
2139,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2382,2383,61,294.976670028999990
2140,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2383,2384,122,3135.590025160000096
2141,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2384,2385,61,2689.020944779999809
2142,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2385,2386,122,162.925888788000009
2143,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2387,2388,122,14.938112987900000
2144,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2395,2396,152,3135.590025110000170
2145,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2396,2397,121,1158.705623150000065
2146,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2397,2398,124,5422.723522309999680
2147,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2401,2402,24,3135.590025129999958
2148,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2402,2403,123,18378.138918000000558
2149,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2403,2404,122,769.448266505999982
2150,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2410,2411,61,5730.468228620000446
2151,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2416,2417,62,13.996013996900000
2152,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2417,2418,152,697.781870455999979
2153,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2423,2424,121,5561.504186250000203
2154,78,1,-3000.000000000000000,10,2011_20,20.000000000000000,20.183333333299998,46.664349999999999,-118.896583300000003,4000.000000000000000,10,1000.000000000000000,500.000000000000000,2464,2465,23,40903.232396300001710
2155,79,1,-3000.000000000000000,11,2011_21,21.000000000000000,20.183333333299998,46.543633329999999,-119.110883299999998,4000.000000000000000,11,1000.000000000000000,500.000000000000000,3128,3129,24,218035.597869999997783
2156,80,1,-3000.000000000000000,12,2011_22,22.000000000000000,20.183333333299998,45.701850000000000,-118.807850000000002,4000.000000000000000,12,1000.000000000000000,500.000000000000000,5237,5238,121,3900.769399129999783
2157,80,1,-3000.000000000000000,12,2011_22,22.000000000000000,20.183333333299998,45.701850000000000,-118.807850000000002,4000.000000000000000,12,1000.000000000000000,500.000000000000000,5238,5239,61,47811.711456199998793
2158,80,1,-3000.000000000000000,12,2011_22,22.000000000000000,20.183333333299998,45.701850000000000,-118.807850000000002,4000.000000000000000,12,1000.000000000000000,500.000000000000000,5239,5240,121,474.778016250000007
2159,80,1,-3000.000000000000000,12,2011_22,22.000000000000000,20.183333333299998,45.701850000000000,-118.807850000000002,4000.000000000000000,12,1000.000000000000000,500.000000000000000,5240,5241,121,3135.590024969999831
2160,80,1,-3000.000000000000000,12,2011_22,22.000000000000000,20.183333333299998,45.701850000000000,-118.807850000000002,4000.000000000000000,12,1000.000000000000000,500.000000000000000,5241,5242,121,4.267970352830000
2161,80,1,-3000.000000000000000,12,2011_22,22.000000000000000,20.183333333299998,45.701850000000000,-118.807850000000002,4000.000000000000000,12,1000.000000000000000,500.000000000000000,5270,5271,24,162674.259989999991376
2162,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2799,2800,23,210.174773652999988
2163,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2801,2802,23,12987.151209499999823
2164,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2802,2803,21,29034.035421699998551
2165,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2804,2805,53,5951.473652360000415
2166,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2805,2806,36,954.891694312000027
2167,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2807,2808,62,1578.322479570000041
2168,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2809,2810,23,288.134034279999980
2169,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2810,2811,24,3963.634666590000052
2170,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2812,2813,21,8745.402320080000209
2171,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2815,2816,42,6271.180049970000255
2172,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2816,2817,24,1808.556734660000075
2173,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2817,2818,152,172.277994401999990
2174,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2823,2824,23,34575.349304600000323
2175,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2824,2825,23,2959.935950489999868
2176,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2826,2827,23,19470.644830000001093
2177,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2827,2828,24,3135.590025020000212
2178,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2834,2835,61,908.846315494999999
2179,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2839,2840,21,6450.802948890000152
2180,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2861,2862,24,5913.486960109999927
2181,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2872,2873,62,28778.016979399999400
2182,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2882,2883,121,43227.245224500002223
2183,81,1,-3000.000000000000000,13,2011_23,23.000000000000000,20.183333333299998,46.588266670000003,-116.946650000000005,4000.000000000000000,13,1000.000000000000000,500.000000000000000,2894,2895,42,510.149728885000002
2184,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,740,741,24,7.277680186000000
2185,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,741,742,62,796.203288950000001
2186,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,742,743,24,1646.920877130000008
2187,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,743,744,62,1884.448623770000040
2188,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,744,745,62,569.143988379000007
2189,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,758,759,62,3135.590024980000180
2190,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,759,760,152,3128.625684980000187
2191,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,760,761,152,104.200116627000000
2192,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,779,780,121,1535.659441560000005
2193,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,780,781,171,3135.590024579999863
2194,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,781,782,152,3135.590024820000053
2195,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,788,789,62,2660.292770990000008
2196,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,789,790,121,3135.590025110000170
2197,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,790,791,62,15155.883952599999247
2198,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,791,792,171,15918.039941600000020
2199,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,792,793,24,30633.678185299999313
2200,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,793,794,152,3135.590025040000000
2201,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,794,795,62,3135.590025089999926
2202,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,795,796,21,2070.841019959999812
2203,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,801,802,171,2309.642125060000126
2204,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,803,804,62,1.382293565280000
2205,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,804,805,24,2897.852662329999930
2206,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,805,806,23,5687.772406979999687
2207,82,1,-3000.000000000000000,14,2011_36,36.000000000000000,20.183333333299998,47.200016669999997,-117.517316699999995,4000.000000000000000,14,1000.000000000000000,500.000000000000000,811,812,171,3027.395822200000111
